file,title,category,source_name,public_status,review_notes
assets/documents/forms/building-permit-application.docx,Building Permit Application,Forms,Building Permit Application.docx,SOURCE_FILE_LINKED,"Updated Drive copy uses ZIP 39751. Review inspection process and fee-display preference before launch."
assets/documents/forms/community-center-rental-agreement-approved.pdf,Community Center Rental Agreement,Forms,Copy of Mantee Community Center Rental Agreement_approved version.pdf,SOURCE_FILE_LINKED,"Publish terms from approved contract only; do not rewrite rules or fees."
assets/documents/forms/privilege-tax-license-application.docx,Privilege Tax License Application,Forms,Privilege Tax License Application.docx,SOURCE_FILE_LINKED,"Review final public instructions and fee wording before launch."
assets/documents/forms/privilege-tax-license-application-transient-vendor.docx,Privilege Tax License Application - Transient Vendor,Forms,Privilege Tax License Application - Transient Vendor.docx,SOURCE_FILE_LINKED,"Review final public instructions and mobile vendor requirements before launch."
assets/documents/notices/blight-prevention-notice-2025-10-24.docx,Blight Prevention Notice,Public Notices,102425 WPT TownMantee BlightPrevention.docx,SOURCE_FILE_LINKED,"Confirm current/archive placement."
assets/documents/notices/mobile-food-vending-notice-2023-12-08.docx,Mobile Food Vending Notice,Public Notices,120823 WPT Mantee Ordinance food trucks.docx,SOURCE_FILE_LINKED,"Drive copy references Ordinance #2401."
assets/documents/notices/dwelling-ordinance-notice-2026-03-13.pdf,Dwelling Ordinance Notice,Public Notices,Town of Mantee 031326 Dwelling ordinance.pdf,SOURCE_FILE_LINKED,"Confirm current/archive placement."
assets/documents/ordinances/blight-ordinance-2501-signed.pdf,Ordinance #2501 - Blight Ordinance,Ordinances,Copy of Blight ordinance 2025 signed.pdf,SOURCE_FILE_LINKED,"Scanned PDF; OCR/accessibility cleanup recommended."
assets/documents/ordinances/boundary-ordinance-0601.pdf,Ordinance #0601 - Boundary Ordinance,Ordinances,Copy of Boundary ordinance.pdf,SOURCE_FILE_LINKED,"Scanned PDF; OCR/accessibility cleanup recommended."
assets/documents/ordinances/dwelling-ordinance-2601.pdf,Ordinance #2601 - Dwelling Ordinance,Ordinances,Copy of Dwelling ordinance 2601.pdf,SOURCE_FILE_LINKED,"Scanned PDF; OCR/accessibility cleanup recommended."
assets/documents/ordinances/mobile-food-vending-ordinance-signed.pdf,Ordinance #2401 - Mobile Food Vending Ordinance,Ordinances,Copy of food truck ordinance signed.pdf,SOURCE_FILE_LINKED,"Updated ordinance record uses #2401. Scanned PDF needs OCR/accessibility cleanup."
assets/documents/ordinances/smokefree-ordinance-2201.pdf,Ordinance #2201 - Smoke-free Ordinance,Ordinances,Copy of smokefree ordinance -Mantee.pdf,SOURCE_FILE_LINKED,"Scanned PDF; OCR/accessibility cleanup recommended."
assets/documents/ordinances/ordinance-record.docx,Ordinance Record,Ordinances,Copy of Ordinance Record.docx,SOURCE_FILE_LINKED,"Updated Drive copy lists mobile food vending as #2401. Record last updated June 5, 2026."
assets/documents/ordinances/hunters-run-homeowners-association-page-1.jpg,Hunters Run Homeowners Association Page 1,Ordinances,Copy of Hunters run homeowners association pg 1.jpg,SOURCE_FILE_LINKED,"Confirm public-record context and placement before launch."
assets/documents/ordinances/hunters-run-homeowners-association-page-2.jpg,Hunters Run Homeowners Association Page 2,Ordinances,Copy of Hunters run homowners association pg 2.jpg,SOURCE_FILE_LINKED,"Confirm public-record context and placement before launch."
