Page/Item,Proposed URL,Section,Content Type,Primary Audience,Starter Purpose,Required Facts,Current Status,Unknowns,Assets Needed,Priority,WordPress Type,Notes
"Home","/","Home","Landing page","Residents, visitors, board members","Identify the official Town site and route people to notices, meetings, services, and community information.","Official site statement; top priority links; latest notices; upcoming meetings/events","Draft placeholder","NEEDS_CONFIRMATION: office contact block, featured notice rules, emergency or alert use","Approved local hero photo; town/community photo set","High","Page","Use website as official source and link Facebook posts back here."
"Public Notices","/public-notices/","Transparency","Record archive","Residents, media, businesses","Publish official notices and time-sensitive announcements.","Notice title; date posted; category; body or attachment; archive rules","Draft placeholder","NEEDS_CONFIRMATION: who can publish notices, notice categories, retention/archive workflow","PDF notices or text records as approved","High","Custom post type: public_notice","Do not summarize legal notice text unless approved."
"Meetings","/meetings/","Transparency","Record archive","Residents, board members","Show meeting schedule, agendas, minutes, and archives.","Regular schedule; location; agenda deadline; agenda files; minutes files","Draft placeholder","NEEDS_CONFIRMATION: meeting time, location, clerk process, archive start date","Agenda/minutes PDFs; meeting location photo","High","Custom post type: meeting","Use consistent naming for agenda and minutes files."
"Ordinances","/ordinances/","Transparency","Document archive","Residents, property owners, contractors","Provide access to ordinance records without inventing legal interpretation.","Ordinance number; title; adoption date; document file; status","Draft placeholder","NEEDS_CONFIRMATION: codification status, complete ordinance list, repeal/amendment handling","Ordinance PDFs/scans","High","Custom post type: ordinance_record","Avoid legal summaries unless reviewed by Town attorney or designated official."
"Building Permits","/building-permits/","Resident Services","Service page","Property owners, contractors","Explain how to begin the permit process and where to get forms.","Permit types; application process; fees; review timeline; inspection contact","Draft placeholder","NEEDS_CONFIRMATION: fees, forms, inspector, process, deadlines, required documents","Approved forms; permit counter/process photo if available","High","Page","Use clear next steps but keep unconfirmed items labeled."
"Resident Services","/resident-services/","Resident Services","Service hub","Residents, property owners","Organize everyday service information and common resident actions.","Services offered; reporting process; utility/sanitation info; county/state links","Draft placeholder","NEEDS_CONFIRMATION: services list, provider contacts, report workflow, after-hours process","Service-related local photos or icons","High","Page","Can link to county/state agencies when appropriate."
"Community Center","/community-center/","Community","Facility page","Residents, event organizers","Describe the community center and route rental/reservation requests.","Facility name; address; rental process; fees; rules; availability","Draft placeholder","NEEDS_CONFIRMATION: rental rules, deposit, fees, capacity, contact, calendar process","Facility exterior/interior photos","High","Page","Do not publish rental terms until confirmed."
"Community","/community/","Community","Community hub","Residents, visitors","Collect community identity, amenities, events, and local history sections.","Overview text; community assets; event approach","Draft placeholder","NEEDS_CONFIRMATION: approved descriptions, photo permissions, event publishing rules","Local photography for each community asset","Medium","Page","Parent page for Farmers Market, Walking Track, Depot, Museum, and Events."
"Farmers Market","/community/#farmers-market","Community","Section","Residents, vendors, visitors","Provide market information once confirmed.","Season; days/times; vendor process; location; contact","Draft placeholder","NEEDS_CONFIRMATION: schedule, location, vendor rules, fees, contact","Farmers market photos","Medium","Page section or child page","Create child page later if schedule/vendor details grow."
"Walking Track","/community/#walking-track","Community","Section","Residents, visitors","Share basic information about the walking track.","Location; hours; rules; accessibility; parking","Draft placeholder","NEEDS_CONFIRMATION: location, hours, rules, maintenance contact","Walking track photos","Medium","Page section or child page","Keep rules factual and approved."
"Mantee Depot","/community/#mantee-depot","Community","Section","Residents, visitors, history audience","Highlight the depot as a community identity asset.","Approved name; location; public access; history summary","Draft placeholder","NEEDS_CONFIRMATION: history text, access status, photo permission","Depot exterior/interior photos","Medium","Page section or child page","Historical claims need source review."
"Mantee Heritage & History Museum","/community/#museum","Community","Section","Residents, visitors, history audience","Highlight the museum and route people to visiting information.","Approved name; hours; contact; exhibits; access rules","Draft placeholder","NEEDS_CONFIRMATION: hours, contact, exhibits, governance, photo permission","Museum photos","Medium","Page section or child page","Avoid inventing exhibit details."
"Events","/community/#events","Community","Event listing","Residents, visitors","List town events and community dates once confirmed.","Event title; date; time; location; organizer; contact","Draft placeholder","NEEDS_CONFIRMATION: event approval workflow, calendar owner, recurring events","Event photos and flyers as approved","Medium","Custom post type: event","Can be a WordPress event listing later."
"Contact","/contact/","Contact","Contact page","Residents, vendors, visitors","Provide official Town contact details once confirmed.","Physical address; mailing address; phone; email; office hours; staff names if approved","Draft placeholder","NEEDS_CONFIRMATION: all contact details, form use, records request routing","Town office photo or map screenshot if approved","High","Page","Do not invent names, email addresses, or phone numbers."
"Facebook Distribution","NEEDS_CONFIRMATION","Communications","Channel guidance","Residents, staff","Use Facebook to share links back to official website content.","Official Facebook page URL; posting owner; link policy","Draft placeholder","NEEDS_CONFIRMATION: official page URL, posting permissions, moderation approach","Town seal/logo or approved social image","Medium","External link","Website should remain official source."
".gov Domain","NEEDS_CONFIRMATION","Infrastructure","Domain goal","Town leadership, staff","Plan for official government domain request and DNS setup.","Eligible domain; authorized contact; domain administrator; DNS host","Draft placeholder","NEEDS_CONFIRMATION: desired domain, authorized approver, account ownership","None","High","Configuration","Do not start application without authorized municipal contact."
"Forms & Documents","/resident-services/#forms","Resident Services","Document grouping","Residents, property owners, permit applicants","Provide a clear home for current forms and approved public documents if document volume grows.","Form title; service area; last updated date; current/archive status; approved file","Draft placeholder","NEEDS_CONFIRMATION: which forms exist, approval owner, file upload policy, retention/archive workflow","Approved forms and document files","Medium","Page section or custom post type","Use simple service-page links at launch; add a document record type only if volume requires it."
"Historical Records Backfill","NEEDS_CONFIRMATION","Transparency","Archive backlog","Residents, staff, researchers","Track older records that should be digitized or uploaded after current-use launch.","Record type; year; source format; priority; accessibility status; public posting approval","Draft placeholder","NEEDS_CONFIRMATION: archive scope, retention schedule, scan/OCR process, staff capacity","Existing digital files or scanned records","Medium","Migration backlog","Do not delay first launch while every older record is digitized."
"Accessibility Statement","/accessibility/","Utility","Policy/support page","Residents, visitors, staff","Provide accessibility contact and support path if approved for launch.","Accessibility target; issue reporting method; responsible contact; review date","Draft placeholder","NEEDS_CONFIRMATION: official statement language, contact route, legal review","None","Medium","Page","Planning target is WCAG 2.1 Level AA, but final legal language requires review."
