Intake ID,Date Received,Source,Area,Item,Source Type,File Or Link,Summary,Public Use Status,Needs Review,Target Page,Related Confirmation ID,Next Action,Status,Notes
INT-001,2026-06-05,Courtney,Official Contact,Contact details,DOCX response,Town Info Request_CRS.docx,Physical address mailing address email and no official phone or hours provided,REVIEW_BEFORE_LAUNCH,PARTIAL,prototype/contact.html,"NC-001; NC-002; NC-003; NC-004; NC-005",Final launch review and contact form decision,UPDATED,Do not publish personal cell numbers.
INT-002,2026-06-05,Courtney,Meetings,Meeting schedule and records,DOCX response,Town Info Request_CRS.docx,First Monday monthly at 7pm at Town Hall; routine online agendas/minutes not planned,REVIEW_BEFORE_LAUNCH,PARTIAL,prototype/meetings.html,"NC-007; NC-008; NC-009; NC-010; NC-011",Confirm final wording for records request guidance,UPDATED,Use approved minutes only if Town later chooses to publish them.
INT-003,2026-06-05,Courtney,Public Notices,Notice workflow and current notices,DOCX response and Drive folder,Town Info Request_CRS.docx; Current notices folder,Notice categories posting workflow PDF format archive preference and received source files,SOURCE_FILES_LINKED_FOR_REVIEW,PARTIAL,prototype/public-notices.html,NC-006,Confirm current/archive status and source document publication,LINKED,Notice duration still unknown.
INT-004,2026-06-05,Courtney,Ordinances,Ordinance list and source files,Drive folder,ordinances and ordinance list folder,Ordinance files identified and linked for review,SOURCE_FILES_LINKED_FOR_REVIEW,NEEDS_REVIEW,prototype/ordinances.html,"NC-012; NC-013; NC-014",Confirm current status disclaimer launch subset OCR plan and mobile food ordinance number,LINKED,Do not summarize legal meaning.
INT-005,2026-06-05,Courtney,Building Permits,Permit process forms and fees,DOCX response and Drive file,Town Info Request_CRS.docx; Building Permit Application.docx,Town handles permits directly; permit form received and linked,SOURCE_FILE_LINKED_FOR_REVIEW,PARTIAL,prototype/building-permits.html,"NC-015; NC-016; NC-017; NC-018",Review form fees supporting documents inspection process permit scope and ZIP code consistency,LINKED,Do not invent fees or requirements.
INT-006,2026-06-05,Courtney,Resident Services,Services and routing,DOCX response and Drive files,Town Info Request_CRS.docx; privilege license files,Town service identified as building permit; privilege license forms linked,SOURCE_FILES_LINKED_FOR_REVIEW,PARTIAL,prototype/resident-services.html,"NC-019; NC-020; NC-021; NC-041",Collect approved external links and final privilege license instructions,LINKED,Avoid implying Town control over external services.
INT-007,2026-06-05,Courtney,Community Center,Facility details rental process rules and fees,DOCX response and Drive file,Town Info Request_CRS.docx; rental agreement PDF,Address amenities reservation basics and rental agreement linked,SOURCE_FILE_LINKED_FOR_REVIEW,PARTIAL,prototype/community-center.html,"NC-022; NC-023; NC-024",Review approved contract before summarizing rules or fees,LINKED,Do not create new rental wording.
INT-008,2026-06-05,Courtney,Community Places,Community places and events,DOCX response,Town Info Request_CRS.docx,Existing community list acceptable as starting point; specific details still needed,NEEDS_CONFIRMATION,NEEDS_CONFIRMATION,prototype/community.html,"NC-025; NC-026; NC-027; NC-028; NC-029",Confirm approved names descriptions schedules and access notes,PARTIAL,Historical claims need source review.
INT-009,NEEDS_CONFIRMATION,Courtney,Photos,Approved website photos,Images or approval note,NEEDS_CONFIRMATION,Photo permission credit approval and any restrictions,NEEDS_CONFIRMATION,NEEDS_CONFIRMATION,prototype/assets/images/photo-manifest.csv,NC-030,Confirm public-use permission and photo credit requirements,AWAITING_RESPONSE,Do not assume draft photos are final public assets.
INT-010,NEEDS_CONFIRMATION,Courtney,Accounts/Channels,Existing Facebook domains email hosting or account info,Email or note,NEEDS_CONFIRMATION,Official Facebook URL posting owner existing accounts and document storage,PRIVATE_REFERENCE_ONLY,NEEDS_CONFIRMATION,docs/decision-log.md,"NC-031; NC-032; NC-033; NC-034; NC-039",Track privately and avoid publishing sensitive account details,AWAITING_RESPONSE,Do not commit passwords billing or private account details.
